Apellido: gil | Nombre: gonzalo | Edad: 23 | DNI: 43111222 | ID: 7
Apellido: cabra | Nombre: antonia | Edad: 23 | DNI: 43555666 | ID: 8
Apellido: gonzalez | Nombre: jorge | Edad: 55 | DNI: 32444555 | ID: 2
Apellido: aa | Nombre: bb | Edad: 23 | DNI: 33444555 | ID: 10
Apellido: cc | Nombre: dd | Edad: 25 | DNI: 44555666 | ID: 11
Apellido: ee | Nombre: ff | Edad: 34 | DNI: 33444555 | ID: 15
Apellido: gg | Nombre: hh | Edad: 10 | DNI: 12333444 | ID: 18
Apellido: gil | Nombre: gonzalo | Edad: 23 | DNI: 43444555 | ID: 20
Apellido: 21 | Nombre: 21 | Edad: 21 | DNI: 21 | ID: 21
Apellido: 30 | Nombre: 30 | Edad: 30 | DNI: 30 | ID: 30
Apellido: 23 | Nombre: 23 | Edad: 23 | DNI: 23 | ID: 23
Apellido: h | Nombre: h | Edad: 9 | DNI: 9 | ID: 90
Apellido: 70 | Nombre: 70 | Edad: 71 | DNI: 70 | ID: 70
Apellido: 50 | Nombre: 50 | Edad: 78 | DNI: 0 | ID: 50
